unit_code,program,do_tuoi,level,sub_level,unit_type,assessment,sessions,duration_month,thoi_luong_buoi_phut,order_global,topic_no,chu_de,bai_hoc,tu_duy_khai_niem_dat_duoc,ghi_chu
R22,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,71,1,Câu đố về số,Con số và các phép tính,Tách một số thành hai số,
R22,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,71,2,Đếm hình,Hình học,Kĩ năng đếm hình,
R22,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,71,3,Đếm số ngỗng bay,Kiểu mẫu và toán,Kiểu mẫu và quan hệ tương ứng,
R22,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,71,4,Cá và tàu ngầm,Lý luận & xác suất & số liệu,Tăng cường khả năng loại suy,
R23,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,72,1,Các phép biến hình,Hình học,Sự di chuyển của các hình,
R23,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,72,2,Lịch trình của Jason,Sự đo lường,Thời gian,
R23,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,,4,1,110,72,3,Câu đố sắp xếp số,Số và các phép toán,Số đếm đến 10.000,
R23,Black Hole,7–11 tuổi (Lớp 2–5),R,R2,LESSON,Thi giữa kỳ,4,1,110,72,4,Các bài toán từ tổ ong,Trò chơi và câu đố,Rèn luyện trí não,
R31,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,73,1,Giá trị của biểu tượng và kí tự,Số và các phép toán,Phép toán hỗn hợp,
R31,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,73,2,Trò chơi Tangram,Hình học,Tạo hình mới từ các hình khác nhau,
R31,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,73,3,Bí ẩn của tháp Xoay,Kiểu mẫu và giải toán,Tạo kiểu mẫu bằng cách sử dụng quy luật,
R31,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,73,4,Giải toán bằng cách lập bảng,Kiểu mẫu và giải toán,Phương pháp giải toán: tạo bảng,
R32,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,74,1,Số và biểu diễn số,Kiểu mẫu và giải toán,Nhận diện kiểu mẫu - Nhận diện sự giống nhau và khác nhau,
R32,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,74,2,Polycube,Hình học,Các hình dạng khác nhau,
R32,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,74,3,Cuộc chiến cướp biển,Đo lường,Toạ độ trên mặt phẳng,
R32,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,74,4,Mở rộng kích thước,Đo lường,"Liên hệ giữa chu vi, diện tích và thể tích",
R33,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,75,1,Phân số I,Số và các phép toán,Phân số,
R33,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,75,2,Phân số II,Số và các phép toán,So sánh các phân số,
R33,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,,4,1,110,75,3,Sơ đồ cây,Lý luận & xác suất & số liệu,Đếm số các trường hợp,
R33,Black Hole,7–11 tuổi (Lớp 2–5),R,R3,LESSON,Thi giữa kỳ,4,1,110,75,4,Hình vuông logic,Trò chơi và câu đố,Tư duy logic,
R41,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,76,1,Kunta đi chợ,Kiểu mẫu và giải toán,Tính chất của phương trình,
R41,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,76,2,"Hình chiếu bằng, hình chiếu đứng và hình chiếu cạnh",Hình học,Xây dựng hình 3D,
R41,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,76,3,Tìm số bên trong,Số và các phép toán,Tìm số theo quy luật,
R41,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,76,4,Giải toán bằng hình vẽ,Kiểu mẫu và giải toán,Giải toán bằng các phương pháp khác nhau,
R42,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,77,1,Trò chơi đoán số,Kiểu mẫu và giải toán,Dự đoán và ước lượng,
R42,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,77,2,Trò chơi thẻ số,Số và các phép toán,Số đếm đến 10.000,
R42,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,77,3,Gấp và cắt giấy I,Hình học,Tính đối xứng của các hình,
R42,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,77,4,Chu vi và diện tích hình vuông,Đo lường,Đa giác đều,
R43,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,78,1,Đo mà không đánh dấu,Đo lường,Biểu diễn số đo,
R43,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,78,2,Hiệp sỹ Audrey,Lý luận & xác suất & số liệu,Đếm số các trường hợp,
R43,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,,4,1,110,78,3,Trò chơi với hình khối II,Hình học,Hình khối,
R43,Black Hole,7–11 tuổi (Lớp 2–5),R,R4,LESSON,Thi cuối kỳ,4,1,110,78,4,Câu đố tìm vị trí,Trò chơi và câu đố,Tư duy logic và hệ thống,
B11,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,79,1,Giải ngược từ cuối,Kiểu mẫu và giải toán,Phương pháp giải toán: làm ngược từ cuối,
B11,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,79,2,Gấp và cắt giấy II,Hình học,Tính đối xứng của các hình,
B11,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,79,3,Giải toán bằng cách nhận diện kiểu mẫu,Kiểu mẫu và giải toán,Phương pháp giải toán: nhận diện kiểu mẫu,
B11,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,79,4,Hãy lấy cái cuối cùng!,Lý luận & xác suất & số liệu,Tìm chiến thuật cho trò chơi “Nim”,
B12,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,80,1,Giải toán bằng 4 bước,Kiểu mẫu và giải toán,Phương pháp giải toán của Polya,
B12,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,80,2,Dựng hình khối bằng gậy Cuisenaire,Hình học,Củng cố khả năng nhận thức không gian,
B12,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,80,3,Những người bạn tốt nhất,Số và các phép toán,Các phương pháp giải toán khác nhau,
B12,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,80,4,Trò chơi Bóng chày,Trò chơi và câu đố,Các phương pháp giải toán khác nhau,
B13,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,81,1,"Ukam, cậu bé Bản Địa",Kiểu mẫu và giải toán,Phương pháp giải toán: đơn giản hóa,
B13,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,81,2,Giải đấu trong Vương quốc động vật,Lý luận & xác suất & số liệu,Giải toán và lập luận,
B13,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,,4,1,110,81,3,Những đồng xu đen trắng,Kiểu mẫu và giải toán,Giải toán bằng cách xác định kiểu mẫu,
B13,Black Hole,7–11 tuổi (Lớp 2–5),B,B1,LESSON,Thi giữa kỳ,4,1,110,81,4,Phục hồi cổ vật,Trò chơi và câu đố,Tư duy logic,
B21,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,82,1,Chu vi,Đo lường,Chu vi và diện tích các hình,
B21,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,82,2,Trò chơi số học,Số và các phép toán,Phép tính hỗn hợp,
B21,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,82,3,Số tiền,Lý luận & xác suất & số liệu,Các đại lượng khác nhau,
B21,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,82,4,Phương pháp tính tổng,Kiểu mẫu và giải toán,Các phương pháp giải toán khác nhau,
B22,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,83,1,"Lớn nhất, Nhỏ nhất",Số và các phép toán,Phép nhân,
B22,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,83,2,Bài toán đổi vỏ chai,Lý luận & xác suất & số liệu,Xác suất,
B22,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,83,3,Góc,Sự đo lường,Số đo của góc,
B22,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,83,4,Giải toán thông minh,Kiểu mẫu và giải toán,Tư duy phân nhánh và tư duy hội tụ,
B23,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,84,1,Bốn bộ Bốn,Số và các phép toán,Con số và phép toán,
B23,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,84,2,Hình tam giác,Hình học,Các hình tam giác khác nhau,
B23,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,84,3,Vuông góc và song song,Đo lường,Vuông góc và song song,
B23,Black Hole,7–11 tuổi (Lớp 2–5),B,B2,LESSON,,4,1,110,84,4,Tín hiệu giao thông,Trò chơi và câu đố,Câu đố đèn giao thông,
B31,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,85,1,Tìm số thoả mãn điều kiện,Số và các phép toán,Tìm tất cả các số có thể,
B31,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,85,2,Hình tứ giác,Hình học,Các hình tứ giác khác nhau,
B31,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,85,3,Người khổng lồ chân dài,Lý luận & xác suất & số liệu,Bài toán đồng xu Frobenius,
B31,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,85,4,Cấp số cộng và cấp số nhân,Kiểu mẫu và giải toán,Dãy số,
B32,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,86,1,Các phương pháp thực hiện phép nhân,Số và các phép toán,Số nhân,
B32,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,86,2,Xúc xắc,Hình học,Sự thật về xúc xắc,
B32,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,86,3,Đảo giấu vàng,Lý luận & xác suất & số liệu,Bài toán đúng-sai,
B32,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,86,4,Số Palindrome,Số và các phép toán,Bài toán về số Palindrome,
B33,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,87,1,Hình vuông ma thuật,Số và các phép toán,Nguyên lý của hình vuông ma thuật,
B33,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,87,2,Hình phẳng của xúc xắc,Hình học,"Hình lục giác, hình chóp và hình nón",
B33,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,,4,1,110,87,3,Diện tích các hình I,Đo lường,Diện tích của hình,
B33,Black Hole,7–11 tuổi (Lớp 2–5),B,B3,LESSON,Thi giữa kỳ,4,1,110,87,4,Cướp biển không gian,Trò chơi và câu đố,Tư duy logic,
B41,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,88,1,Ước số và Bội số,Số và các phép toán,Ước số và bội số,
B41,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,88,2,Ước chung lớn nhất và bội chung nhỏ nhất,Số và các phép toán,Ước chung lớn nhất và bội chung nhỏ nhất,
B41,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,88,3,Đường đi Euler,Lý luận & xác suất & số liệu,Đường đi Euler,
B41,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,88,4,Diện tích các hình II,Kiểu mẫu và giải toán,Diện tích của hình,
B42,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,89,1,Rút gọn phân số và mẫu số chung bé nhất,Số và các phép toán,Rút gọn phân số,
B42,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,89,2,Chia phân số,Số và các phép toán,Chia phân số,
B42,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,89,3,Mật mã I,Đo lường,Các chữ cái và biểu tượng,
B42,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,89,4,Bảng Hình và diện tích,Hình học,Đo các hình phẳng,
B43,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,90,1,Dấu hiệu chia hết,Số và các phép toán,Các dấu hiệu chia hết,
B43,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,90,2,Tìm đường I,Lý luận & xác suất & số liệu,Đếm số các trường hợp,
B43,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,,4,1,110,90,3,Tìm đường II,Lý luận & xác suất & số liệu,Hoán vị và tổ hợp,
B43,Black Hole,7–11 tuổi (Lớp 2–5),B,B4,LESSON,Thi cuối kỳ,4,1,110,90,4,Trục đối xứng,Hình học,Đối xứng qua đường thẳng,
P11,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,91,1,Tâm đối xứng,Hình học,Đối xứng qua một điểm,
P11,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,91,2,Tìm số còn thiếu,Số và các phép toán,Phép nhân và phép chia,
P11,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,91,3,Mã số II,Kiểu mẫu và giải toán,Mã số và mã hóa,
P11,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,91,4,Trò chơi Xây hàng rào,Trò chơi và câu đố,Trò chơi xây hàng rào,
P12,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,92,1,Chiếc cân và những đồng tiền giả,Lý luận & xác suất & số liệu,Đo lường,
P12,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,92,2,Xếp chồng các hình khối,Hình học,Hình khối trong không gian,
P12,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,92,3,Các nguyên tắc tính toán,Số và các phép toán,Tính toán hỗn hợp,
P12,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,92,4,Trò chơi Nim,Lý luận & xác suất & số liệu,Trò chơi Nim,
P13,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,93,1,Những dãy số kì lạ,Kiểu mẫu và giải toán,Dãy số,
P13,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,93,2,Góc trong và góc ngoài của tam giác,Đo lường,Góc trong và góc ngoài của tam giác,
P13,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,,4,1,110,93,3,Sơ đồ Venn,Lý luận & xác suất & số liệu,Sơ đồ Venn,
P13,Black Hole,7–11 tuổi (Lớp 2–5),P,P1,LESSON,Thi giữa kỳ,4,1,110,93,4,Robot Tìm Kiếm,Trò chơi và câu đố,Trò chơi Robot Tìm Kiếm,
P21,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,94,1,Tổng các số tự nhiên liên tiếp,Số và các phép toán,Các số liên tiếp,
P21,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,94,2,Lát kín mặt phẳng,Hình học,Đo các hình trong mặt phẳng,
P21,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,94,3,Toán học trong lịch,Kiểu mẫu và giải toán,Các phương pháp giải toán khác nhau,
P21,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,94,4,Tam đoạn luận,Lý luận & xác suất & số liệu,Tam đoạn luận,
P22,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,95,1,Ứng dụng của dãy số,Kiểu mẫu và giải toán,Dãy số,
P22,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,95,2,Những hình khối trong suốt,Hình học,Hình khối,
P22,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,95,3,Hành khách khó tính,Lý luận & xác suất & số liệu,Câu đố qua sông,
P22,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,95,4,Ý nghĩa các biểu tượng,Kiểu mẫu và giải toán,Số học,
P23,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,96,1,Con mắt của Horus,Số và các phép toán,Cộng và trừ phân số với các mẫu số khác nhau,
P23,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,96,2,"Đúng, Sai và Tuỳ thuộc",Lý luận & xác suất & số liệu,Câu hỏi Đúng-Sai,
P23,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,,4,1,110,96,3,Hình khối và diện tích bề mặt,Đo lường,Hình khối,
P23,Black Hole,7–11 tuổi (Lớp 2–5),P,P2,LESSON,Thi giữa kỳ,4,1,110,96,4,Câu đố dựng hàng rào,Trò chơi và câu đố,Câu đố dựng hàng rào,
P31,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,97,1,Phân chia các hình,Hình học,Diện tích các hình,
P31,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,97,2,Tính chẵn lẻ,Lý luận & xác suất & số liệu,Tính chẵn lẻ,
P31,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,97,3,Có bao nhiêu thẻ?,Số và các phép toán,Tổng các con số,
P31,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,97,4,Kế hoạch tối ưu,Kiểu mẫu và giải toán,Toán rời rạc,
P32,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,98,1,Nguyên lý Dirichlet (nguyên lý thỏ và chuồng),Lý luận & xác suất & số liệu,Toán rời rạc,
P32,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,98,2,Con số ma thuật,Số và các phép toán,Ước số và bội số,
P32,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,98,3,Đường đi của quân mã,Kiểu mẫu và giải toán,Kiểu mẫu không thay đổi,
P32,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,98,4,Chia cắt hình khối,Hình học,Hình khối,
P33,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,99,1,Thế giới các con số,Số và các phép toán,Giải phương trình,
P33,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,99,2,Tom và Hucke,Kiểu mẫu và giải toán,Cộng và nhân phân số,
P33,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,,4,1,110,99,3,Số Đa Giác,Số và các phép toán,Quy luật của dãy số thông qua hình dạng,
P33,Black Hole,7–11 tuổi (Lớp 2–5),P,P3,LESSON,Thi giữa kỳ,4,1,110,99,4,Nhảy! Nhảy!,Trò chơi và câu đố,Trò chơi bài Solitaire,
P41,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,100,1,Lăng mộ của Diophantus,Số và các phép toán,Phương trình tuyến tính,
P41,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,100,2,Chiến lược chiến thắng các trò chơi,Lý luận & xác suất & số liệu,Chiến lược chiến thắng,
P41,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,100,3,Chu trình Hamilton,Kiểu mẫu và giải toán,Toán rời rạc,
P41,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,100,4,Trò chơi chiến hạm,Trò chơi và câu đố,Trò chơi chiến hạm,
P42,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,101,1,Trải hình 3D lên mặt phẳng,Hình học,Hình chóp và hình nón,
P42,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,101,2,Đường tròn,Hình học,Số Pi và diện tích hình tròn,
P42,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,101,3,Thi đấu vòng tròn: Thắng và Thua,Lý luận & xác suất & số liệu,Xác suất,
P42,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,101,4,Thử thách Sudoku,Trò chơi và câu đố,Câu đố Sudoku,
P43,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,102,1,Thể tích của hình 3D,Đo lường,Thể tích hình 3D,
P43,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,102,2,Tam giác số,Kiểu mẫu và giải toán,Các phương pháp giải toán khác nhau,
P43,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,,4,1,110,102,3,Định lý Euler,Hình học,Đặc điểm của hình 3D,
P43,Black Hole,7–11 tuổi (Lớp 2–5),P,P4,LESSON,Thi cuối kỳ,4,1,110,102,4,Hình vuông Latin,Trò chơi và câu đố,Hình vuông Latin (Tư duy logic),
